3842919,126080 | 3943893,1918172
406527,2094318 | -1066,1333278
2208821,3683408 | 2914373,3062268
39441,1251806 | -1066,1333278
3093352,2404566 | 2810772,2699609
3645473,2234498 | 3943893,1918172
3645012,2995540 | 4001806,2787325
18039,3083937 | 103421,3007511
2375680,551123 | 2761373,2000000
776553,123250 | -1066,1333278
2884996,2022644 | 2761373,2000000
1886537,2659379 | 2810772,2699609
3980015,3987237 | 3844688,3570059
3426483,3353349 | 3844688,3570059
999596,1165648 | -1066,1333278
2518209,2287271 | 2761373,2000000
3982110,3262128 | 3844688,3570059
3412896,3999288 | 3844688,3570059
2716180,2798731 | 2810772,2699609
3575486,1273265 | 3943893,1918172
7606,2926795 | 103421,3007511
2719370,2062251 | 2761373,2000000
1603268,1771299 | 2761373,2000000
3999678,1864727 | 3943893,1918172
3157947,2833781 | 2914373,3062268
3904662,2601010 | 4001806,2787325
3846359,1608423 | 3943893,1918172
2831842,3562642 | 2914373,3062268
3157592,1874755 | 2761373,2000000
934300,2824967 | 103421,3007511
3986911,1907590 | 3943893,1918172
200888,3579976 | 103421,3007511
967209,3837958 | 103421,3007511
3998480,1972726 | 3943893,1918172
